time difference
3.07500e+01 1.31596e+01
3.07917e+01 -1.45430e+01
3.08333e+01 -1.13506e+00
3.08750e+01 1.44248e+00
3.09167e+01 2.35289e+00
3.09583e+01 -1.82911e+01
3.10000e+01 -5.32061e+00
3.10417e+01 -1.64584e+01
3.10833e+01 -1.54416e+01
3.11250e+01 1.65530e-01
3.11667e+01 -1.66831e+01
3.12083e+01 2.50660e+00
3.12500e+01 -4.81220e+00
3.12917e+01 3.66531e+00
3.13333e+01 8.98592e+00
3.13750e+01 -1.57845e+01
3.14167e+01 3.41701e+00
3.14583e+01 6.62120e-01
3.15000e+01 -2.35289e+00
3.15417e+01 2.21101e+01
3.15833e+01 1.08186e+01
3.16250e+01 -1.07358e+01
3.16667e+01 7.81538e+00
3.17083e+01 -6.62120e+00
3.17500e+01 -9.11598e+00
3.17917e+01 -9.55345e+00
3.18333e+01 5.34426e+00
3.18750e+01 -7.47250e+00
3.19167e+01 1.61983e+00
3.19583e+01 1.62338e+01
3.20000e+01 -1.63520e+01
3.20417e+01 -1.12915e+01
3.20833e+01 1.87049e+01
3.21250e+01 6.42020e+00
3.21667e+01 9.29333e+00
3.22083e+01 -2.23466e+01
3.22500e+01 1.98045e+01
3.22917e+01 9.71898e+00
3.23333e+01 -1.97454e+00
3.23750e+01 -2.00055e+01
3.24167e+01 -5.17873e+00
3.24583e+01 9.74263e+00
3.25000e+01 1.64702e+01
3.25417e+01 2.11879e+01
3.25833e+01 1.04047e+01
3.26250e+01 -1.96744e+01
3.26667e+01 1.50987e+01
3.27083e+01 1.46139e+01
3.27500e+01 2.03602e+01
3.27917e+01 2.38836e+00
3.28333e+01 -3.49978e+00
3.28750e+01 3.42884e+00
3.29167e+01 5.92361e+00
3.29583e+01 -4.72943e-02
3.30000e+01 1.36681e+01
3.30417e+01 1.55125e+01
3.30833e+01 9.54163e+00
3.31250e+01 -2.37063e+01
3.31667e+01 2.57754e+00
3.32083e+01 -1.57017e+01
3.32500e+01 -5.08414e-01
3.32917e+01 1.30059e+01
3.33333e+01 -2.21101e+01
3.33750e+01 -6.29014e+00
3.34167e+01 5.92361e+00
3.34583e+01 1.47913e+01
3.35000e+01 1.91778e+01
3.35417e+01 -6.85768e-01
3.35833e+01 -1.58672e+01
3.36250e+01 -1.96981e+01
3.36667e+01 -2.00291e+01
3.37083e+01 1.24502e+01
3.37500e+01 -1.18236e-02
3.37917e+01 8.32380e+00
3.38333e+01 -3.31060e-01
3.38750e+01 -1.31596e+01
3.39167e+01 -5.07231e+00
3.39583e+01 1.21310e+01
3.40000e+01 -1.72861e+01
3.40417e+01 1.57254e+01
3.40833e+01 3.54707e-02
3.41250e+01 -8.40656e+00
3.41667e+01 4.50478e+00
3.42083e+01 -2.10696e+01
3.42500e+01 5.73444e+00
3.42917e+01 -1.13625e+01
3.43333e+01 7.62621e+00
3.43750e+01 -1.98636e+00
3.44167e+01 7.37791e+00
3.44583e+01 3.08595e+00
3.45000e+01 4.58755e+00
3.45417e+01 1.01565e+01
3.45833e+01 5.36790e+00
3.46250e+01 -3.64166e+00
3.46667e+01 -1.34198e+01
3.47083e+01 -3.54707e-02
3.47500e+01 4.20919e+00
3.47917e+01 -1.33488e+01
3.48333e+01 1.65294e+01
3.48750e+01 -4.18555e+00
3.49167e+01 -6.56209e+00
3.49583e+01 1.09368e+01
3.50000e+01 1.46612e+01
3.50417e+01 -3.65349e+00
3.50833e+01 1.36444e+01
3.51250e+01 1.23202e+01
3.51667e+01 1.17408e+01
3.52083e+01 -1.16344e+01
3.52500e+01 5.32061e+00
3.52917e+01 -4.16190e+00
3.53333e+01 9.67169e+00
3.53750e+01 1.71442e+00
3.54167e+01 -2.07858e+01
3.54583e+01 1.22847e+01
3.55000e+01 -1.30059e+01
3.55417e+01 -2.53498e+01
3.55833e+01 -2.08686e+01
3.56250e+01 -9.94363e+00
3.56667e+01 1.86931e+01
3.57083e+01 -5.32061e-01
3.57500e+01 -1.84448e+00
3.57917e+01 -1.93434e+01
3.58333e+01 -1.57372e+01
3.58750e+01 2.03247e+01
3.59167e+01 8.60756e+00
3.59583e+01 -8.77309e+00
3.60000e+01 -9.81357e-01
3.60417e+01 1.47204e+01
3.60833e+01 -9.80175e+00
3.61250e+01 -5.72261e+00
3.61667e+01 -1.10550e+01
3.62083e+01 2.19209e+01
3.62500e+01 1.75817e+01
3.62917e+01 2.58936e+00
3.63333e+01 -1.52288e+01
3.63750e+01 -3.10487e+01
3.64167e+01 -1.84448e+00
3.64583e+01 1.13979e+01
3.65000e+01 1.57254e+00
3.65417e+01 -1.44839e+01
3.65833e+01 -6.51479e+00
3.66250e+01 7.92180e-01
3.66667e+01 2.23820e+01
3.67083e+01 -7.47250e+00
3.67500e+01 5.91179e-01
3.67917e+01 3.83084e+00
3.68333e+01 1.14452e+01
3.68750e+01 9.38792e+00
